id,n_eventos,veredito_composto,infimo_componentes,prop2_ok,status_gate,diag
001,11,BOT,BOT,OK,erro_classificacao,timeout_cls
002,7,BOT,BOT,OK,erro_classificacao,timeout_cls
003,8,BOT,BOT,OK,erro_decisao,leave_ab_silent
004,8,BOT,BOT,OK,erro_classificacao,timeout_cls
005,7,TOP,TOP,OK,liberado_integracao,-
006,7,BOT,BOT,OK,erro_decisao,leave_ab_silent
007,8,TOP,TOP,OK,liberado_integracao,-
008,3,TOP,TOP,OK,liberado_integracao,-
009,3,TOP,TOP,OK,divergencia_pcp,mismatch
010,8,BOT,BOT,OK,erro_classificacao,timeout_cls
011,7,BOT,BOT,OK,erro_classificacao,timeout_cls
012,5,TOP,TOP,OK,liberado_integracao,-
013,5,BOT,BOT,OK,erro_classificacao,timeout_cls
014,9,TOP,TOP,OK,divergencia_pcp,mismatch
015,2,BOT,BOT,OK,erro_decisao,leave_ab_silent
016,7,TOP,TOP,OK,liberado_integracao,-
017,7,TOP,TOP,OK,liberado_integracao,-
018,4,BOT,BOT,OK,erro_classificacao,timeout_cls
019,3,TOP,TOP,OK,divergencia_pcp,mismatch
020,4,TOP,TOP,OK,divergencia_pcp,mismatch
021,7,TOP,TOP,OK,liberado_integracao,-
022,11,TOP,TOP,OK,liberado_integracao,-
023,9,TOP,TOP,OK,liberado_integracao,-
024,7,TOP,TOP,OK,liberado_integracao,-
025,9,TOP,TOP,OK,divergencia_pcp,mismatch
026,6,BOT,BOT,OK,erro_classificacao,timeout_cls
027,10,BOT,BOT,OK,erro_classificacao,timeout_cls
028,7,TOP,TOP,OK,liberado_integracao,-
029,5,BOT,BOT,OK,erro_classificacao,timeout_cls
030,5,BOT,BOT,OK,erro_decisao,leave_ab_silent
031,5,BOT,BOT,OK,erro_classificacao,timeout_cls
032,5,TOP,TOP,OK,liberado_integracao,-
033,2,BOT,BOT,OK,erro_decisao,leave_ab_silent
034,11,TOP,TOP,OK,liberado_integracao,-
035,8,BOT,BOT,OK,erro_classificacao,timeout_cls
036,3,TOP,TOP,OK,divergencia_pcp,mismatch
037,5,TOP,TOP,OK,liberado_integracao,-
038,11,TOP,TOP,OK,liberado_integracao,-
039,10,TOP,TOP,OK,liberado_integracao,-
040,7,BOT,BOT,OK,erro_classificacao,timeout_cls
041,7,BOT,BOT,OK,erro_decisao,leave_ab_silent
042,7,TOP,TOP,OK,divergencia_pcp,mismatch
043,5,BOT,BOT,OK,erro_classificacao,timeout_cls
044,5,BOT,BOT,OK,erro_classificacao,timeout_cls
045,3,TOP,TOP,OK,divergencia_pcp,mismatch
046,3,TOP,TOP,OK,liberado_integracao,-
047,11,TOP,TOP,OK,divergencia_pcp,mismatch
048,6,BOT,BOT,OK,erro_decisao,leave_ab_silent
049,11,TOP,TOP,OK,liberado_integracao,-
050,5,TOP,TOP,OK,divergencia_pcp,mismatch
051,7,BOT,BOT,OK,erro_decisao,leave_ab_silent
052,9,TOP,TOP,OK,liberado_integracao,-
053,8,TOP,TOP,OK,divergencia_pcp,mismatch
054,9,BOT,BOT,OK,erro_classificacao,timeout_cls
055,6,BOT,BOT,OK,erro_decisao,leave_ab_silent
056,9,TOP,TOP,OK,liberado_integracao,-
057,7,BOT,BOT,OK,erro_classificacao,timeout_cls
058,8,BOT,BOT,OK,erro_classificacao,timeout_cls
059,3,TOP,TOP,OK,liberado_integracao,-
060,5,BOT,BOT,OK,erro_classificacao,timeout_cls
061,6,BOT,BOT,OK,erro_classificacao,timeout_cls
062,11,BOT,BOT,OK,erro_classificacao,timeout_cls
063,3,TOP,TOP,OK,liberado_integracao,-
064,5,TOP,TOP,OK,liberado_integracao,-
065,8,TOP,TOP,OK,liberado_integracao,-
066,9,TOP,TOP,OK,divergencia_pcp,mismatch
067,7,BOT,BOT,OK,erro_classificacao,timeout_cls
068,7,TOP,TOP,OK,liberado_integracao,-
069,10,TOP,TOP,OK,liberado_integracao,-
070,3,TOP,TOP,OK,divergencia_pcp,mismatch
071,9,BOT,BOT,OK,erro_classificacao,timeout_cls
072,10,TOP,TOP,OK,liberado_integracao,-
073,7,TOP,TOP,OK,liberado_integracao,-
074,9,TOP,TOP,OK,divergencia_pcp,mismatch
075,9,TOP,TOP,OK,liberado_integracao,-
076,5,TOP,TOP,OK,divergencia_pcp,mismatch
077,6,BOT,BOT,OK,erro_classificacao,timeout_cls
078,9,TOP,TOP,OK,liberado_integracao,-
079,3,TOP,TOP,OK,divergencia_pcp,mismatch
080,5,BOT,BOT,OK,erro_classificacao,timeout_cls
081,10,BOT,BOT,OK,erro_classificacao,timeout_cls
082,3,TOP,TOP,OK,liberado_integracao,-
083,10,BOT,BOT,OK,erro_classificacao,timeout_cls
084,3,TOP,TOP,OK,divergencia_pcp,mismatch
085,5,BOT,BOT,OK,erro_classificacao,timeout_cls
086,3,TOP,TOP,OK,divergencia_pcp,mismatch
087,3,TOP,TOP,OK,liberado_integracao,-
088,12,TOP,TOP,OK,divergencia_pcp,mismatch
089,10,TOP,TOP,OK,divergencia_pcp,mismatch
090,3,TOP,TOP,OK,divergencia_pcp,mismatch
091,7,TOP,TOP,OK,divergencia_pcp,mismatch
092,11,TOP,TOP,OK,liberado_integracao,-
093,5,BOT,BOT,OK,erro_classificacao,timeout_cls
094,9,BOT,BOT,OK,erro_classificacao,timeout_cls
095,10,TOP,TOP,OK,divergencia_pcp,mismatch
096,10,BOT,BOT,OK,erro_decisao,leave_ab_silent
097,8,BOT,BOT,OK,erro_decisao,leave_ab_silent
098,3,TOP,TOP,OK,liberado_integracao,-
099,10,TOP,TOP,OK,divergencia_pcp,mismatch
100,8,BOT,BOT,OK,erro_classificacao,timeout_cls
101,5,BOT,BOT,OK,erro_classificacao,timeout_cls
102,3,TOP,TOP,OK,divergencia_pcp,mismatch
103,5,BOT,BOT,OK,erro_classificacao,timeout_cls
104,9,TOP,TOP,OK,liberado_integracao,-
105,4,BOT,BOT,OK,erro_classificacao,timeout_cls
106,5,BOT,BOT,OK,erro_classificacao,timeout_cls
107,6,BOT,BOT,OK,erro_classificacao,timeout_cls
108,11,TOP,TOP,OK,liberado_integracao,-
109,2,BOT,BOT,OK,erro_decisao,leave_ab_silent
110,7,BOT,BOT,OK,erro_decisao,leave_ab_silent
111,8,BOT,BOT,OK,erro_classificacao,timeout_cls
112,6,BOT,BOT,OK,erro_classificacao,timeout_cls
113,6,BOT,BOT,OK,erro_classificacao,timeout_cls
114,9,TOP,TOP,OK,liberado_integracao,-
115,10,BOT,BOT,OK,erro_classificacao,timeout_cls
116,10,TOP,TOP,OK,liberado_integracao,-
117,5,TOP,TOP,OK,liberado_integracao,-
118,6,TOP,TOP,OK,divergencia_pcp,mismatch
119,5,TOP,TOP,OK,liberado_integracao,-
120,7,BOT,BOT,OK,erro_classificacao,timeout_cls
121,7,BOT,BOT,OK,erro_decisao,leave_ab_silent
122,10,BOT,BOT,OK,erro_decisao,leave_ab_silent
123,3,TOP,TOP,OK,liberado_integracao,-
124,8,TOP,TOP,OK,divergencia_pcp,mismatch
125,2,BOT,BOT,OK,erro_decisao,leave_ab_silent
126,9,TOP,TOP,OK,divergencia_pcp,mismatch
127,7,BOT,BOT,OK,erro_classificacao,timeout_cls
128,6,BOT,BOT,OK,erro_decisao,leave_ab_silent
129,11,TOP,TOP,OK,liberado_integracao,-
130,12,TOP,TOP,OK,liberado_integracao,-
131,10,TOP,TOP,OK,liberado_integracao,-
132,3,TOP,TOP,OK,liberado_integracao,-
133,11,TOP,TOP,OK,liberado_integracao,-
134,10,TOP,TOP,OK,liberado_integracao,-
135,9,TOP,TOP,OK,liberado_integracao,-
136,11,TOP,TOP,OK,liberado_integracao,-
137,4,BOT,BOT,OK,erro_classificacao,timeout_cls
138,11,TOP,TOP,OK,liberado_integracao,-
139,7,TOP,TOP,OK,divergencia_pcp,mismatch
140,5,BOT,BOT,OK,erro_classificacao,timeout_cls
141,9,TOP,TOP,OK,liberado_integracao,-
142,9,BOT,BOT,OK,erro_classificacao,timeout_cls
143,8,TOP,TOP,OK,divergencia_pcp,mismatch
144,10,BOT,BOT,OK,erro_classificacao,timeout_cls
145,7,BOT,BOT,OK,erro_classificacao,timeout_cls
146,11,TOP,TOP,OK,liberado_integracao,-
147,7,TOP,TOP,OK,liberado_integracao,-
148,6,BOT,BOT,OK,erro_classificacao,timeout_cls
149,3,TOP,TOP,OK,liberado_integracao,-
150,9,BOT,BOT,OK,erro_classificacao,timeout_cls
151,11,BOT,BOT,OK,erro_classificacao,timeout_cls
152,3,TOP,TOP,OK,divergencia_pcp,mismatch
153,7,BOT,BOT,OK,erro_classificacao,timeout_cls
154,7,BOT,BOT,OK,erro_classificacao,timeout_cls
155,3,TOP,TOP,OK,liberado_integracao,-
156,8,BOT,BOT,OK,erro_decisao,leave_ab_silent
157,11,TOP,TOP,OK,liberado_integracao,-
158,7,BOT,BOT,OK,erro_classificacao,timeout_cls
159,7,BOT,BOT,OK,erro_classificacao,timeout_cls
160,9,BOT,BOT,OK,erro_classificacao,timeout_cls
161,3,TOP,TOP,OK,liberado_integracao,-
162,5,TOP,TOP,OK,divergencia_pcp,mismatch
163,7,TOP,TOP,OK,liberado_integracao,-
164,10,BOT,BOT,OK,erro_classificacao,timeout_cls
165,10,BOT,BOT,OK,erro_classificacao,timeout_cls
166,5,BOT,BOT,OK,erro_classificacao,timeout_cls
167,11,BOT,BOT,OK,erro_classificacao,timeout_cls
168,11,TOP,TOP,OK,liberado_integracao,-
169,7,BOT,BOT,OK,erro_classificacao,timeout_cls
170,8,TOP,TOP,OK,liberado_integracao,-
171,9,BOT,BOT,OK,erro_classificacao,timeout_cls
172,5,BOT,BOT,OK,erro_classificacao,timeout_cls
173,5,BOT,BOT,OK,erro_classificacao,timeout_cls
174,8,TOP,TOP,OK,liberado_integracao,-
175,7,BOT,BOT,OK,erro_classificacao,timeout_cls
176,11,TOP,TOP,OK,liberado_integracao,-
177,4,TOP,TOP,OK,divergencia_pcp,mismatch
178,3,TOP,TOP,OK,liberado_integracao,-
179,4,BOT,BOT,OK,erro_classificacao,timeout_cls
180,8,TOP,TOP,OK,divergencia_pcp,mismatch
181,10,TOP,TOP,OK,divergencia_pcp,mismatch
182,3,TOP,TOP,OK,divergencia_pcp,mismatch
183,6,BOT,BOT,OK,erro_decisao,leave_ab_silent
184,5,BOT,BOT,OK,erro_classificacao,timeout_cls
185,7,BOT,BOT,OK,erro_classificacao,timeout_cls
186,4,TOP,TOP,OK,divergencia_pcp,mismatch
187,4,TOP,TOP,OK,liberado_integracao,-
188,10,BOT,BOT,OK,erro_classificacao,timeout_cls
189,12,BOT,BOT,OK,erro_classificacao,timeout_cls
190,8,TOP,TOP,OK,divergencia_pcp,mismatch
191,7,TOP,TOP,OK,liberado_integracao,-
192,3,TOP,TOP,OK,liberado_integracao,-
193,5,TOP,TOP,OK,liberado_integracao,-
194,5,BOT,BOT,OK,erro_classificacao,timeout_cls
195,11,TOP,TOP,OK,liberado_integracao,-
196,7,BOT,BOT,OK,erro_decisao,leave_ab_silent
197,6,BOT,BOT,OK,erro_classificacao,timeout_cls
198,7,TOP,TOP,OK,liberado_integracao,-
199,6,BOT,BOT,OK,erro_classificacao,timeout_cls
200,8,BOT,BOT,OK,erro_classificacao,timeout_cls
201,6,BOT,BOT,OK,erro_classificacao,timeout_cls
202,5,TOP,TOP,OK,divergencia_pcp,mismatch
203,3,TOP,TOP,OK,liberado_integracao,-
204,10,TOP,TOP,OK,divergencia_pcp,mismatch
205,4,BOT,BOT,OK,erro_decisao,leave_ab_silent
206,8,BOT,BOT,OK,erro_decisao,leave_ab_silent
207,5,BOT,BOT,OK,erro_classificacao,timeout_cls
208,3,TOP,TOP,OK,liberado_integracao,-
209,4,TOP,TOP,OK,liberado_integracao,-
210,6,BOT,BOT,OK,erro_classificacao,timeout_cls
211,5,BOT,BOT,OK,erro_classificacao,timeout_cls
212,4,BOT,BOT,OK,erro_decisao,leave_ab_silent
213,2,BOT,BOT,OK,erro_decisao,leave_ab_silent
